NIF;sector
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B83669044;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
B28078020;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A50564061;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A78116167;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
A41097205;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
B15279607;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
A41411158;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
B65893802;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
F31097280;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
B35468412;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
F08226714;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A63054068;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A48109144;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A08099681;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
A79658845;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B58882952;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B86418787;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
B09512278;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A61904348;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
A08512493;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
B60112844;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A15149271;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
A63126700;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
B34038851;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
A18522128;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B14296164;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
B37369071;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
A09307935;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
B46715017;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
A08829426;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B48920441;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
B61979241;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A63296164;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
A28109213;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B65112930;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
B14918361;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A14482582;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A41845231;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
A46427712;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
B14552632;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
A46294898;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B18364141;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
B29214392;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A30010193;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A08710055;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A45002581;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
A41797291;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
B60621653;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
F10020154;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A60832706;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A74090101;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A20079794;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
A01360684;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B23360498;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
B80322076;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
A01010164;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B95710257;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
B17363581;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
A48093926;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
B09212275;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A58547548;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
A81665945;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
F06139109;cma
A79273439;cma
A79273439;cma
A79273439;cma
A79273439;cma
A79273439;cma
